g915.Adom	Cytochrome_P450_6a14	Clan_3
g1039.Adom	Cytochrome_P450_6j1_partial	Clan_3
g1121.Adom	Cytochrome_P450_4C1_isoform_X2	Clan_4
g1050.Adom	Cytochrome_P450_9e2	Clan_3
g1055.Adom	Cytochrome_P450_304a1	Clan_2
g1059.Adom	Cytochrome_P450_304a1	Clan_2
g1073.Adom	Cytochrome_P450_6j1	Clan_3
g1079.Adom	Cytochrome_P450_304a1	Clan_2
g1082.Adom	Cytochrome_P450_304a1	Clan_2
g1086.Adom	Cytochrome_P450_304a1	Clan_2
g1093.Adom	Cytochrome_P450_304a1	Clan_2
g1003.Adom	Cytochrome_P450_6a14	Clan_3
g1107.Adom	Cytochrome_P450_304a1	Clan_2
g1115.Adom	Cytochrome_P450_304a1	Clan_2
g1127.Adom	Cytochrome_P450_49a1	Clan_M
g1150.Adom	Cytochrome_P450_301a1_mitochondrial	Clan_M
g1152.Adom	Cytochrome_P450_301a1_mitochondrial	Clan_M
g1163.Adom	Cytochrome_P450_6j1	Clan_3
g1166.Adom	Cytochrome_P450_6j1	Clan_3
g1167.Adom	Ecdysone_20-monooxygenase	Clan_M
g1169.Adom	Cytochrome_P450_18a1	Clan_2
g1182.Adom	Cytochrome_P450_6a13_isoform_X2	Clan_3
g1011.Adom	Cytochrome_P450	Cytochrome_P450
g1183.Adom	NADPH--cytochrome_P450_reductase	Clan_R
g1204.Adom	Cytochrome_P450_4aa1	Clan_4
g1212.Adom	Cytochrome_P450_301a1_mitochondrial	Clan_M
g1245.Adom	Cytochrome_P450_301a1_mitochondrial	Clan_M
g1273.Adom	Cytochrome_P450_9e2	Clan_3
g1293.Adom	Cytochrome_P450_6j1	Clan_3
g5.Adom	Cytochrome_P450_6a13_isoform_X1	Clan_3
g1.Adom	Cytochrome_P450_301a1_mitochondrial	Clan_M
g252.Adom	Cytochrome_P450_6a14	Clan_3
g289.Adom	Cytochrome_P450_6a14	Clan_3
g1012.Adom	Cytochrome_P450_4C1_isoform_X2	Clan_4
